date,lat_orig_1,lon_orig_1,rainfall_orig_1,cumi_orig_1,lat_orig_2,lon_orig_2,rainfall_orig_2,cumi_orig_2,lat_orig_3,lon_orig_3,rainfall_orig_3,cumi_orig_3,lat_orig_4,lon_orig_4,rainfall_orig_4,cumi_orig_4,lat_orig_5,lon_orig_5,rainfall_orig_5,cumi_orig_5,lat_orig_6,lon_orig_6,rainfall_orig_6,cumi_orig_6,lat_orig_7,lon_orig_7,rainfall_orig_7,cumi_orig_7,lat_adj_1,lon_adj_1,rainfall_adj_1,cumi_adj_1,lat_adj_2,lon_adj_2,rainfall_adj_2,cumi_adj_2,lat_adj_3,lon_adj_3,rainfall_adj_3,cumi_adj_3,lat_adj_4,lon_adj_4,rainfall_adj_4,cumi_adj_4,flood
01-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
02-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
03-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
04-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
05-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
06-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
07-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
08-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
09-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
10-01-1971,26.5,81,0,0,26.75,81.25,0,0,26.75,81,0,0,26.75,80.75,0,0,27,81,0,0,27,80.75,0,0,27,80.5,0,0,27.75,80.25,0,0,27.5,80.25,0,0,27.25,80.75,0,0,27.5,80.75,0,0,0
